close_price,ewm_cross_signal,fng_class,mfi,google_search,vader_compound,mining_difficulty,gas_price,total_transfers,prediction_price,actual_day_positive_move,predicted_day_positive_move,Correct Call Count
119.52,1.0,-0.5,0.2576858580212409,0.041237113402061855,0.0,0.41000159804159475,0.0037893836154603722,0.19351303966688582,,False,False,True
121.18,1.0,-0.5,0.40693124650642815,0.041237113402061855,0.0,0.4269286433377185,0.003408018683502645,0.1529695375849222,,True,False,False
120.58,1.0,0.0,0.31456120737842364,0.041237113402061855,0.0,0.41090954824225684,0.004772588624742452,0.18255533640149021,,False,False,True
119.37,1.0,0.0,0.3454443823365008,0.041237113402061855,0.0,0.40283959249559625,0.00789089830443666,0.16721455182993641,,False,False,True
120.48,1.0,-0.5,0.45905533817775296,0.041237113402061855,0.0,0.4011847825354853,0.005012782146323698,0.15844838921761997,,True,False,False
121.51,1.0,-0.5,0.40762996087199554,0.041237113402061855,0.0,0.413190408239248,0.003977617538233368,0.10256410256410256,,True,False,False
132.34,1.0,-0.5,0.47051425377305756,0.041237113402061855,0.0,0.4036547017732723,0.004012286162014414,0.17707648476879245,,True,False,False
144.71,1.0,0.5,0.5067076579094466,0.041237113402061855,0.0,0.41168837957992305,0.007458188371354548,0.31404777558623714,,True,False,False
142.84,1.0,0.5,0.3356623812185578,0.041237113402061855,0.0,0.44227923565827815,0.2604459494773722,0.28774928774928776,,False,False,True
147.71,1.0,0.5,0.431805477920626,0.041237113402061855,0.0,0.43771697175777996,0.007161346441260731,0.2296734604426912,,True,False,False
144.17,1.0,0.5,0.30631637786472893,0.041237113402061855,0.0,0.43907480569856266,0.006914793591276282,0.21981152750383517,,False,False,True
146.94,1.0,0.5,0.3288149804359978,0.041237113402061855,0.0,0.4334216035241115,0.006352667559049286,0.21542844619767695,,True,False,False
157.5,1.0,0.5,0.4552822806036892,0.041237113402061855,0.0,0.4637721212583421,0.004723311638155544,0.15187376725838264,,True,False,False
131.56,1.0,0.5,0.34041363890441584,0.041237113402061855,0.0,0.4512227649183053,0.007501884414306348,0.29980276134122286,,False,False,True
137.54,1.0,0.0,0.5102012297372833,0.010309278350515464,0.0,0.4423108920461371,0.008809221640688664,0.39294323909708523,,True,False,False
135.71,1.0,-0.5,0.40832867523756283,0.010309278350515464,0.0,0.4490198369206655,0.008651535805185679,0.19022572868726711,,False,False,True
134.11,1.0,-0.5,0.41307993292342093,0.010309278350515464,0.0,0.4484718813227928,0.007546139357508711,0.30418584264738113,,False,False,True
134.52,1.0,-0.5,0.48239239798770256,0.010309278350515464,0.0,0.4501950242616496,0.00938209154771989,0.24282270436116588,,True,False,False
134.79,1.0,-0.5,0.4899385131358301,0.010309278350515464,0.0,0.42867132650042095,0.005246021365400115,0.188034188034188,,True,False,False
132.23,1.0,-0.5,0.46003353828954724,0.010309278350515464,0.0,0.43267967829893167,0.004280512995422029,0.1474906859522244,,False,False,True
129.81,1.0,-0.5,0.4273337059809949,0.010309278350515464,0.0,0.42764049746459076,0.0036680635555397675,0.17050186280955512,,False,False,True
125.1,-1.0,-0.5,0.36039686975964225,0.010309278350515464,0.0,0.42280352123588705,0.006211420925673009,0.25925925925925924,,False,False,True
136.49,1.0,-0.5,0.5174678591391839,0.010309278350515464,0.49,0.42960987748775803,0.006500325389043707,0.24063116370808676,,True,False,False
136.92,1.0,-0.5,0.5083845723868083,0.010309278350515464,0.0,0.4296921982984956,0.006562545316148252,0.22638614946307253,,True,False,False
136.11,1.0,0.5,0.519564002235886,0.010309278350515464,0.0,0.43076096687843146,0.006192198743287267,0.21761998685075606,,False,False,True
132.74,1.0,0.0,0.45458356623812185,0.010309278350515464,0.0,0.43314100752339685,0.0058333273984067955,0.24830155599386367,,False,False,True
136.45,1.0,0.5,0.46003353828954724,0.010309278350515464,0.0,0.42154464435005,0.00460025339689579,0.18474687705456935,,True,False,False
134.67,1.0,0.5,0.5283678032420347,0.010309278350515464,0.0,0.4311645605991058,0.003548376814196146,0.1726934034626342,,False,False,True
131.7,1.0,0.5,0.364169927333706,0.010309278350515464,0.0,0.42221779005199944,0.004677623047259426,0.254876177953101,,False,False,True
132.91,1.0,0.5,0.5085243152599217,0.010309278350515464,0.0,0.4195359278659873,0.0049564942973644305,0.24391847468770544,,True,False,False
131.12,-1.0,0.0,0.4857462269424259,0.010309278350515464,0.0,0.4128583156309165,0.004695082522923144,0.21104536489151873,,False,False,True
131.4,-1.0,0.5,0.43613750698714365,0.010309278350515464,0.0,0.41715235216754976,0.00421970079190566,0.23515231207538898,,True,False,False
135.89,1.0,0.5,0.4259362772498602,0.010309278350515464,0.0,0.41885644580531667,0.003879692364227651,0.22419460880999342,,True,False,False
140.4,1.0,0.0,0.49021799888205697,0.010309278350515464,0.0,0.43305529718106617,0.002748254174601143,0.1957045803199649,,True,False,False
138.02,1.0,0.5,0.4555617663499162,0.010309278350515464,0.0,0.4284367177782635,0.005336934376784321,0.1759807144422529,,False,False,True
136.85,1.0,0.5,0.45486305198434873,0.0,0.0,0.420696902625145,0.14386105874878957,0.26912119219811526,,False,False,True
137.96,1.0,0.5,0.42551704863051976,0.0,0.0,0.40633548579000156,0.00686422296776757,0.19241726934034625,,True,False,False
138.82,1.0,0.5,0.3430687534935718,0.0,0.0,0.4240735873888554,0.005984097073042228,0.3008985316677624,,True,False,False
134.3,1.0,0.5,0.40511458915595305,0.0,0.0,0.4158495369164983,0.007171886408611862,0.25816348893271973,,False,False,True
135.78,1.0,0.5,0.5058692006707657,0.0,0.0,0.41372539797074054,0.006301158930668374,0.21214113521805827,,True,False,False
