close_price,ewm_cross_signal,fng_class,mfi,google_search,vader_compound,mining_difficulty,gas_price,total_transfers,prediction_price,actual_day_positive_move,predicted_day_positive_move,Correct Call Count
79.49600000000001,1.0,-0.5,0.7294292068198664,0.44,0.76,0.46117743791397886,0.04016006517007984,0.03895961784149662,,False,False,True
81.19,1.0,-0.5,0.8484062268346924,0.44,0.0,0.5617427001058974,0.03798077363535647,0.04128071638869995,,True,False,False
78.944,1.0,0.0,0.6562886088460588,0.44,0.0,0.5215657184000697,0.030001673175713013,0.028086828426350473,,False,False,True
76.957,1.0,0.0,0.6161354089448975,0.44,0.1,0.15784741904184263,0.030668379942027004,0.024781249449978022,,False,False,True
77.657,1.0,-0.5,0.5926612305411416,0.44,0.0,0.467761716545174,0.02122104796273685,0.027210172264939426,,True,False,False
77.791,1.0,-0.5,0.6698789226587596,0.44,0.0,0.585589835051066,0.02350708602865017,0.017300615722257585,,True,False,False
78.153,1.0,-0.5,0.7209043736100815,0.44,-0.46,0.2814430006621407,0.019456075046540046,0.024131079365733287,,True,False,False
85.015,1.0,0.5,0.7031134173461824,0.0,0.38,0.5238783254530327,0.03408035778220229,0.03410334324303925,,True,False,False
86.603,1.0,0.5,0.710032122559921,0.0,0.0,0.6004434313166227,0.035105195183846465,0.040600104350485396,,True,False,False
86.596,1.0,0.5,0.7128737336298493,0.0,0.0,0.6012964729172444,0.028232514165225958,0.03372402928528334,,False,False,True
83.053,1.0,0.5,0.4691129231529528,0.0,0.0,0.4859165462262116,0.022960188426916668,0.04403822687331324,,False,False,True
85.24,1.0,0.5,0.5369409439090684,0.0,0.0,0.4580386957707926,0.027633098455227992,0.0429935373070962,,True,False,False
89.14200000000001,1.0,0.5,0.5084012849023969,0.0,0.0,0.6193131624694765,0.024925579302310426,0.03400142708377583,,True,False,False
79.97399999999999,1.0,0.5,0.44699777613046704,0.0,0.0,0.34370902487950317,0.037631976564530545,0.028044364218477856,,False,False,True
81.835,1.0,0.0,0.49765258215962443,0.27,0.4,0.347954090578738,0.025441507949220735,0.022528158536998633,,True,False,False
80.933,1.0,-0.5,0.4341487521620954,0.27,0.0,0.44947641283605894,0.024961194832312496,0.019752841312135987,,False,False,True
80.199,1.0,-0.5,0.5051890289103039,0.27,0.0,0.49079113407935016,0.024268308262655428,0.01924303902613686,,False,False,True
81.329,1.0,-0.5,0.6517173214726958,0.27,0.0,0.45161239894087557,0.011477112205328552,0.017678662552995463,,True,False,False
82.1,1.0,-0.5,0.6650605386706202,0.27,0.1,0.5174742753467971,0.02411929409304401,0.044160772478540986,,True,False,False
81.773,1.0,-0.5,0.636767976278725,0.27,0.74,0.36962811144105406,0.02276637705388486,0.016364064630091706,,False,False,True
78.814,1.0,-0.5,0.6273783049172227,0.27,0.27,0.516261528274759,0.012702868761681736,0.037828758487130486,,False,False,True
77.544,-1.0,-0.5,0.5969854212997282,0.36,0.0,0.537071985437415,0.011139950202019201,0.042463625818339346,,False,False,True
81.152,1.0,-0.5,0.6045218680504078,0.36,0.0,0.7122924422017342,0.02281585403518441,0.03161224363850599,,True,False,False
82.20100000000001,1.0,-0.5,0.6525821596244131,0.36,0.25,0.4328316546827474,0.02607940558885339,0.04256184876592826,,True,False,False
81.543,1.0,0.5,0.7490733876945885,0.36,0.0,0.3319642579327232,0.027210924919148494,0.030059467043594718,,False,False,True
78.891,1.0,0.0,0.6504818383988139,0.36,0.0,0.42514992112183614,0.019270176733346293,0.02528463883704442,,False,False,True
81.99700000000001,1.0,0.5,0.6625895725228564,0.36,0.18,0.5606715504237776,0.02026506154336842,0.02585005563692039,,True,False,False
81.59,1.0,0.5,0.7343711391153941,0.36,0.0,0.4958483555086571,0.01735962500022949,0.01544998701426598,,False,False,True
81.985,1.0,0.5,0.6793921423276501,0.37,0.1,0.40225218014134184,0.02279515162571974,0.019351589574015025,,True,False,False
90.0,1.0,0.5,0.7344946874227823,0.37,0.1,0.30650769278176493,0.032917251265809376,0.02963691108861772,,True,False,False
89.501,1.0,0.0,0.5982209043736101,0.37,0.0,0.35894938344257526,0.03026466365182342,0.021453145488037034,,False,False,True
88.337,1.0,0.5,0.4240177909562639,0.37,0.58,0.3457142363248413,0.020811371412235272,0.024591860319087618,,False,False,True
88.90100000000001,1.0,0.5,0.41129231529528043,0.37,0.82,0.48330150398374183,0.029116016535810117,0.02431829995810909,,True,False,False
91.448,1.0,0.0,0.45329873980726465,0.37,0.73,0.37775673357970074,0.02100190277914624,0.022351327355986134,,True,False,False
92.04899999999999,1.0,0.5,0.4744255003706449,0.37,0.7,0.32367960809690555,0.02013904031882621,0.01135052720648163,,True,False,False
90.6,1.0,0.5,0.4180874722016308,0.27,0.0,0.738969270209758,0.022592784773182755,0.041401587944005495,,False,False,True
89.9,1.0,0.5,0.30504077094143806,0.27,0.34,0.22707155703766838,0.022092500006693123,0.02644179880341899,,False,False,True
92.02,1.0,0.5,0.35297751420805534,0.27,0.0,0.19584843066650734,0.02900861090848366,0.040206609902157756,,True,False,False
89.375,1.0,0.5,0.38164072152211514,0.27,0.23,0.33798289858274844,0.021241833604309934,0.04761773707710853,,False,False,True
90.3,1.0,0.5,0.4221645663454411,0.27,0.0,0.34861998913217485,0.02212354363003235,0.026289661146489625,,True,False,False
91.382,1.0,0.0,0.407091672844082,0.27,0.0,0.41607912017214155,0.011783342813430419,0.01749505275752877,,True,False,False
91.3,1.0,-0.5,0.392636520879664,0.27,0.0,0.3882310322254315,0.015865018667714937,0.03532771245059795,,False,False,True
