f0_,f1_
2019-03-29 00:00:00 UTC,13807897
2021-01-05 00:00:00 UTC,40033016
2019-11-29 00:00:00 UTC,10528478
2019-04-27 00:00:00 UTC,11827883
2020-04-29 00:00:00 UTC,32778277
2020-04-25 00:00:00 UTC,28565946
2019-01-09 00:00:00 UTC,13065788
2020-11-02 00:00:00 UTC,45111720
2019-10-16 00:00:00 UTC,10822141
2019-09-15 00:00:00 UTC,16307375
2019-12-12 00:00:00 UTC,10828863
2020-06-19 00:00:00 UTC,14886748
2019-11-19 00:00:00 UTC,12661342
2019-07-13 00:00:00 UTC,15601381
2020-01-17 00:00:00 UTC,12349338
2020-10-15 00:00:00 UTC,43556024
2019-03-26 00:00:00 UTC,12321174
2020-12-29 00:00:00 UTC,37861721
2020-12-15 00:00:00 UTC,28844695
2019-04-10 00:00:00 UTC,53046999
2020-08-29 00:00:00 UTC,21420972
2020-09-18 00:00:00 UTC,38786065
2020-04-11 00:00:00 UTC,11774131
2019-10-09 00:00:00 UTC,12059820
2019-08-09 00:00:00 UTC,24289731
2019-11-23 00:00:00 UTC,10189737
2020-05-19 00:00:00 UTC,18392074
2019-06-27 00:00:00 UTC,27851580
2019-05-05 00:00:00 UTC,11789583
2019-05-11 00:00:00 UTC,17716371
2021-01-02 00:00:00 UTC,35440186
2020-07-01 00:00:00 UTC,16406451
2020-07-18 00:00:00 UTC,19213961
2020-10-13 00:00:00 UTC,37532845
2020-10-09 00:00:00 UTC,35890973
2020-09-24 00:00:00 UTC,52877693
2020-08-26 00:00:00 UTC,21556973
2020-04-26 00:00:00 UTC,27135424
2019-01-19 00:00:00 UTC,13428060
2019-09-14 00:00:00 UTC,13784018
2019-12-22 00:00:00 UTC,9598829
2019-10-26 00:00:00 UTC,11655186
2019-07-14 00:00:00 UTC,16038442
2019-05-12 00:00:00 UTC,13954598
2019-05-04 00:00:00 UTC,13957310
2019-05-14 00:00:00 UTC,17087067
2020-10-03 00:00:00 UTC,40050670
2020-09-09 00:00:00 UTC,23864833
2020-09-22 00:00:00 UTC,54777281
2020-06-06 00:00:00 UTC,25597902
2020-06-08 00:00:00 UTC,26453245
2019-02-16 00:00:00 UTC,13449199
2020-05-11 00:00:00 UTC,19712826
2019-08-29 00:00:00 UTC,12019047
2019-07-09 00:00:00 UTC,17422059
2019-10-11 00:00:00 UTC,11439664
2019-09-13 00:00:00 UTC,14378031
2019-12-18 00:00:00 UTC,11047752
2020-06-04 00:00:00 UTC,47372155
2020-05-01 00:00:00 UTC,28905672
2020-05-30 00:00:00 UTC,18254622
2019-06-20 00:00:00 UTC,21909885
2020-01-21 00:00:00 UTC,13105277
2019-05-28 00:00:00 UTC,17434195
2019-05-23 00:00:00 UTC,16550846
2019-05-19 00:00:00 UTC,14236907
2020-08-07 00:00:00 UTC,24670995
2020-07-12 00:00:00 UTC,22285596
2019-04-19 00:00:00 UTC,14083358
2020-10-08 00:00:00 UTC,37027216
2019-12-07 00:00:00 UTC,9689850
2019-11-07 00:00:00 UTC,10281668
2019-11-05 00:00:00 UTC,20000640
2020-11-07 00:00:00 UTC,36325481
2020-03-16 00:00:00 UTC,11553515
2020-03-03 00:00:00 UTC,14017143
2019-07-19 00:00:00 UTC,15616422
2019-05-18 00:00:00 UTC,14182023
2021-01-15 00:00:00 UTC,34387081
2020-06-27 00:00:00 UTC,18083297
2019-10-07 00:00:00 UTC,12557053
2019-08-27 00:00:00 UTC,14732131
2019-08-30 00:00:00 UTC,11718215
2019-07-08 00:00:00 UTC,18679488
2020-01-03 00:00:00 UTC,10091944
2019-05-20 00:00:00 UTC,16276417
2020-10-29 00:00:00 UTC,38111552
2019-12-27 00:00:00 UTC,23074988
2020-02-24 00:00:00 UTC,11646882
2020-02-11 00:00:00 UTC,16508747
2019-03-12 00:00:00 UTC,17122593
2020-12-24 00:00:00 UTC,32676094
2019-12-10 00:00:00 UTC,13739147
2019-11-04 00:00:00 UTC,12790386
2020-09-02 00:00:00 UTC,25528031
2020-11-17 00:00:00 UTC,37608073
2020-03-30 00:00:00 UTC,10624390
2020-02-16 00:00:00 UTC,12793241
2020-02-14 00:00:00 UTC,15010550
2019-03-31 00:00:00 UTC,13148777
2019-03-28 00:00:00 UTC,13036836
2020-12-30 00:00:00 UTC,33613471
2020-12-23 00:00:00 UTC,34380619
2021-01-03 00:00:00 UTC,39744218
2019-04-14 00:00:00 UTC,12208981
2019-12-09 00:00:00 UTC,10937861
2019-01-11 00:00:00 UTC,12865328
2020-11-28 00:00:00 UTC,26554629
2019-09-02 00:00:00 UTC,11772759
2019-09-10 00:00:00 UTC,17569323
2020-06-09 00:00:00 UTC,28389741
2019-08-22 00:00:00 UTC,12922784
2019-08-08 00:00:00 UTC,20393544
2019-02-17 00:00:00 UTC,12827550
2019-06-23 00:00:00 UTC,18906999
2020-02-29 00:00:00 UTC,12759636
2019-04-18 00:00:00 UTC,14532540
2020-09-20 00:00:00 UTC,38850240
2020-11-26 00:00:00 UTC,32503577
2019-09-12 00:00:00 UTC,13443359
2020-06-15 00:00:00 UTC,22243887
2020-05-18 00:00:00 UTC,17091682
2019-09-28 00:00:00 UTC,14149812
2020-02-21 00:00:00 UTC,11839623
2019-07-22 00:00:00 UTC,15190216
2019-07-18 00:00:00 UTC,16917370
2020-01-14 00:00:00 UTC,14992412
2020-07-17 00:00:00 UTC,19448250
2020-10-10 00:00:00 UTC,36178432
2019-11-03 00:00:00 UTC,12369945
2019-10-23 00:00:00 UTC,9740584
2019-01-04 00:00:00 UTC,14533187
2019-01-27 00:00:00 UTC,11742646
2019-01-28 00:00:00 UTC,13744245
2020-11-06 00:00:00 UTC,39650418
2019-09-06 00:00:00 UTC,14894624
2019-06-08 00:00:00 UTC,15734234
2020-10-31 00:00:00 UTC,39564238
2019-03-13 00:00:00 UTC,15647720
2021-01-07 00:00:00 UTC,49174241
2020-07-10 00:00:00 UTC,18622494
2020-07-06 00:00:00 UTC,23613624
2020-09-17 00:00:00 UTC,34175556
2020-08-25 00:00:00 UTC,28780173
2019-10-05 00:00:00 UTC,10328191
2019-09-07 00:00:00 UTC,12931454
2020-05-04 00:00:00 UTC,20202464
2019-06-26 00:00:00 UTC,27991157
2020-12-27 00:00:00 UTC,44408326
2021-01-08 00:00:00 UTC,46105176
2020-07-11 00:00:00 UTC,16633764
2020-07-02 00:00:00 UTC,16796320
2019-11-02 00:00:00 UTC,29971223
2019-11-08 00:00:00 UTC,11114197
2020-04-27 00:00:00 UTC,30820308
2020-11-04 00:00:00 UTC,35892560
2020-11-24 00:00:00 UTC,38047382
2019-12-26 00:00:00 UTC,20118896
2019-12-20 00:00:00 UTC,11493657
2020-06-05 00:00:00 UTC,79010605
2020-05-15 00:00:00 UTC,17055659
2020-10-28 00:00:00 UTC,36285229
2019-03-08 00:00:00 UTC,15223055
2019-03-23 00:00:00 UTC,12598114
2020-12-01 00:00:00 UTC,83705479
2020-12-09 00:00:00 UTC,25845218
2020-12-17 00:00:00 UTC,43507099
2019-04-08 00:00:00 UTC,123511659
2020-09-28 00:00:00 UTC,54006687
2019-01-23 00:00:00 UTC,11631256
2020-06-10 00:00:00 UTC,26018062
2020-05-14 00:00:00 UTC,17853857
2020-01-13 00:00:00 UTC,10453987
2019-03-16 00:00:00 UTC,13811482
2020-12-02 00:00:00 UTC,27935573
2019-11-28 00:00:00 UTC,10617594
2020-08-10 00:00:00 UTC,24258235
2020-07-09 00:00:00 UTC,18598668
2019-04-17 00:00:00 UTC,13317883
2019-12-31 00:00:00 UTC,16998882
2020-03-04 00:00:00 UTC,13163191
2020-03-23 00:00:00 UTC,10160848
2019-05-07 00:00:00 UTC,13003294
2019-03-07 00:00:00 UTC,37261147
2021-01-13 00:00:00 UTC,31931673
2019-06-05 00:00:00 UTC,15240762
2019-06-01 00:00:00 UTC,15073838
2020-08-30 00:00:00 UTC,21447774
2020-09-15 00:00:00 UTC,25940805
2020-03-17 00:00:00 UTC,11471449
2019-02-04 00:00:00 UTC,13385431
2020-05-16 00:00:00 UTC,15679950
2019-09-22 00:00:00 UTC,13070190
2019-09-17 00:00:00 UTC,23058201
2019-09-19 00:00:00 UTC,26539945
2020-01-27 00:00:00 UTC,11364428
2020-12-26 00:00:00 UTC,37942608
2021-01-10 00:00:00 UTC,41510806
2020-08-12 00:00:00 UTC,22956183
2019-12-11 00:00:00 UTC,11658369
2020-11-27 00:00:00 UTC,29907867
2019-12-24 00:00:00 UTC,10612821
2020-03-19 00:00:00 UTC,11881576
2020-06-22 00:00:00 UTC,14978780
2020-06-17 00:00:00 UTC,14896819
2019-08-25 00:00:00 UTC,9787669
2019-02-05 00:00:00 UTC,12668054
2019-02-06 00:00:00 UTC,12546667
2019-11-15 00:00:00 UTC,14915322
2020-05-27 00:00:00 UTC,16273598
2019-06-18 00:00:00 UTC,20750407
2019-07-28 00:00:00 UTC,14032376
2019-07-01 00:00:00 UTC,18548800
2019-05-08 00:00:00 UTC,13154646
2019-03-01 00:00:00 UTC,15377477
2019-11-30 00:00:00 UTC,10653544
2020-08-22 00:00:00 UTC,21561082
2020-08-05 00:00:00 UTC,25173120
2020-07-24 00:00:00 UTC,20400901
2019-10-24 00:00:00 UTC,9426258
2019-08-03 00:00:00 UTC,15788008
2019-01-08 00:00:00 UTC,14183019
2019-01-30 00:00:00 UTC,12292817
2020-04-02 00:00:00 UTC,11917466
2019-10-01 00:00:00 UTC,12814938
2019-10-06 00:00:00 UTC,11487342
2019-09-01 00:00:00 UTC,9912567
2020-03-15 00:00:00 UTC,14598963
2019-11-12 00:00:00 UTC,12947278
2020-10-22 00:00:00 UTC,41589145
2019-05-26 00:00:00 UTC,15853021
2019-05-22 00:00:00 UTC,15606726
2019-03-21 00:00:00 UTC,12927618
2020-12-14 00:00:00 UTC,27409163
2020-08-16 00:00:00 UTC,25116313
2019-10-25 00:00:00 UTC,11329787
2020-06-28 00:00:00 UTC,15896541
2020-09-23 00:00:00 UTC,49909043
2020-09-08 00:00:00 UTC,25887595
2019-01-06 00:00:00 UTC,15500054
2020-11-19 00:00:00 UTC,35542868
2020-03-08 00:00:00 UTC,32898967
2020-06-16 00:00:00 UTC,18654178
2020-06-07 00:00:00 UTC,24510886
2020-05-09 00:00:00 UTC,15873824
2020-05-07 00:00:00 UTC,17107804
2019-07-26 00:00:00 UTC,15407145
2019-07-12 00:00:00 UTC,17383263
2020-01-04 00:00:00 UTC,9094049
2020-01-31 00:00:00 UTC,13184052
2020-10-27 00:00:00 UTC,40475392
2021-01-06 00:00:00 UTC,49433254
2020-08-11 00:00:00 UTC,28657809
2020-07-25 00:00:00 UTC,23962602
2020-07-23 00:00:00 UTC,20793738
2019-04-16 00:00:00 UTC,13590499
2019-06-04 00:00:00 UTC,16978665
2020-09-13 00:00:00 UTC,20767872
2020-07-31 00:00:00 UTC,26487467
2020-04-06 00:00:00 UTC,12058019
2019-01-17 00:00:00 UTC,12282213
2020-11-03 00:00:00 UTC,59473330
2019-10-10 00:00:00 UTC,11810087
2019-02-24 00:00:00 UTC,14973870
2019-11-11 00:00:00 UTC,10462980
2020-05-12 00:00:00 UTC,18815185
2020-05-21 00:00:00 UTC,16091655
2020-02-12 00:00:00 UTC,15882130
2019-07-11 00:00:00 UTC,17594848
2020-01-10 00:00:00 UTC,10856860
2019-03-10 00:00:00 UTC,11827686
2019-04-25 00:00:00 UTC,13421147
2019-10-29 00:00:00 UTC,14312215
2019-12-02 00:00:00 UTC,10387160
2020-09-16 00:00:00 UTC,30043582
2020-04-07 00:00:00 UTC,13615862
2019-01-20 00:00:00 UTC,12041512
2019-01-15 00:00:00 UTC,13130560
2020-11-16 00:00:00 UTC,35982704
2019-10-18 00:00:00 UTC,9668617
2020-05-28 00:00:00 UTC,16466015
2020-02-20 00:00:00 UTC,13033249
2020-07-13 00:00:00 UTC,18246122
2020-10-07 00:00:00 UTC,46356470
2019-01-13 00:00:00 UTC,11806494
2020-11-12 00:00:00 UTC,33173533
2019-02-03 00:00:00 UTC,12584483
2020-05-17 00:00:00 UTC,15416977
2020-02-23 00:00:00 UTC,10309225
2019-07-25 00:00:00 UTC,14802575
2019-07-04 00:00:00 UTC,16859964
2019-03-14 00:00:00 UTC,13193931
2020-12-28 00:00:00 UTC,39101180
2020-07-28 00:00:00 UTC,31221946
2020-07-29 00:00:00 UTC,26651726
2019-04-06 00:00:00 UTC,14836430
2020-10-12 00:00:00 UTC,37838093
2020-11-18 00:00:00 UTC,34524906
2020-03-28 00:00:00 UTC,10120660
2020-03-22 00:00:00 UTC,9623589
2020-06-20 00:00:00 UTC,15205514
2019-08-14 00:00:00 UTC,13550620
