symbol,date,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal
DASH/USD,2019-01-28,66.68,623.71667512,,66.68,66.68,0.0,0.0,0.0
DASH/USD,2019-01-29,66.34899999999999,155.3678595,-0.004964007198560494,66.45933333333333,66.50876650246055,0.0,-1.0,-1.0
DASH/USD,2019-01-30,68.17,242.90071788,0.02744577913759083,67.43685714285714,67.10130582402839,1.0,0.0,1.0
DASH/USD,2019-01-31,66.55,1579.95911241,-0.023764119113979798,66.96386666666666,66.948836013044,1.0,0.0,1.0
DASH/USD,2019-02-01,66.665,609.73998322,0.001728024042073839,66.80961290322581,66.88393984110571,0.0,-1.0,-1.0
DASH/USD,2019-02-02,65.794,517.49085137,-0.013065326633165952,66.29374603174602,66.6694185800383,0.0,-1.0,-1.0
DASH/USD,2019-02-03,65.743,418.55039687,-0.000775146669909188,66.01620472440945,66.50803721800699,0.0,-1.0,-1.0
DASH/USD,2019-02-04,65.975,320.12375335,0.0035288928098808903,65.99552156862745,66.42417526825275,0.0,-1.0,-1.0
DASH/USD,2019-02-05,66.923,347.71557677,0.014369079196665524,66.46016829745597,66.49615080156134,0.0,-1.0,-1.0
DASH/USD,2019-02-06,64.521,1212.70790644,-0.03589199527815545,65.48963636363636,66.23161092067286,0.0,-1.0,-1.0
DASH/USD,2019-02-07,66.464,126.36232117,0.03011422637590866,65.97705617977527,66.26078220960422,0.0,-1.0,-1.0
DASH/USD,2019-02-08,72.48100000000001,529.12219517,0.09053021184400589,69.22982222222221,66.99839712865358,1.0,0.0,1.0
DASH/USD,2019-02-09,73.131,138.51936516,0.008967867441122435,71.18064924917593,67.68992800125136,1.0,0.0,1.0
DASH/USD,2019-02-10,74.416,183.29927038,0.017571207832519642,72.79842336568393,68.41516718192173,1.0,0.0,1.0
DASH/USD,2019-02-11,79.49600000000001,713.77724121,0.06826488927112462,76.14731388286997,69.5630581512757,1.0,0.0,1.0
DASH/USD,2019-02-12,81.19,1443.79167719,0.02130924826406355,78.66869541466392,70.72496646850423,1.0,0.0,1.0
DASH/USD,2019-02-13,78.944,632.52138932,-0.027663505357802598,78.80634875754363,71.52010232277658,1.0,0.0,1.0
DASH/USD,2019-02-14,76.957,1018.58805275,-0.025169740575597954,77.88167085140553,72.0308764436448,1.0,0.0,1.0
DASH/USD,2019-02-15,77.657,412.10207115,0.009095988668996968,77.76933521143954,72.54554244915097,1.0,0.0,1.0
DASH/USD,2019-02-16,77.791,70.73988264,0.0017255366547768158,77.78016761605035,73.01390591608568,1.0,0.0,1.0
DASH/USD,2019-02-17,78.153,59.15239155,0.004653494620200371,77.9665838969154,73.462752944516,1.0,0.0,1.0
DASH/USD,2019-02-18,85.015,350.55040313,0.08780213171599294,81.49079278869458,74.4515779017242,1.0,0.0,1.0
DASH/USD,2019-02-19,86.603,246.77067655,0.01867905663706404,84.0468966990586,75.47266801006893,1.0,0.0,1.0
DASH/USD,2019-02-20,86.596,1641.57450841,-8.08286087086163e-05,85.3214484254985,76.3916855393292,1.0,0.0,1.0
DASH/USD,2019-02-21,83.053,923.84279789,-0.04091412998290922,84.18722417894674,76.93356560919004,1.0,0.0,1.0
DASH/USD,2019-02-22,85.24,92.07225314,0.026332582808568095,84.71361209731715,77.59969266057338,1.0,0.0,1.0
DASH/USD,2019-02-23,89.14200000000001,675.24301531,0.04577663068981708,86.92780606515561,78.51323413994317,1.0,0.0,1.0
DASH/USD,2019-02-24,79.97399999999999,855.99173042,-0.10284714276098827,83.45090301962533,78.6274584141402,1.0,0.0,1.0
DASH/USD,2019-02-25,81.835,175.11209669,0.023270062770400335,82.64295150830773,78.87548663707986,1.0,0.0,1.0
DASH/USD,2019-02-26,80.933,412.19435561,-0.011022178774362845,81.78797575335761,79.03295579683734,1.0,0.0,1.0
DASH/USD,2019-02-27,80.199,1384.05006527,-0.00906923010391325,80.99348787630885,79.12135184218822,1.0,0.0,1.0
DASH/USD,2019-02-28,81.329,1200.21953262,0.014089951246274879,81.16124393819348,79.28724357807103,1.0,0.0,1.0
DASH/USD,2019-03-01,82.1,64.12788931,0.00948001327939596,81.63062196915138,79.49689132142441,1.0,0.0,1.0
DASH/USD,2019-03-02,81.773,60.13415994,-0.0039829476248477436,81.70181098457984,79.66526603167223,1.0,0.0,1.0
DASH/USD,2019-03-03,78.814,331.17685416,-0.03618553801376989,80.25790549224789,79.60273201359517,1.0,0.0,1.0
DASH/USD,2019-03-04,77.544,511.70031785,-0.016113888395462683,78.90095274610421,79.45247315487036,0.0,-1.0,-1.0
DASH/USD,2019-03-05,81.152,456.95969653,0.046528422572990946,80.02647637306029,79.57577286805767,1.0,0.0,1.0
DASH/USD,2019-03-06,82.20100000000001,721.79138743,0.01292636041009465,81.11373818653409,79.76517429483077,1.0,0.0,1.0
DASH/USD,2019-03-07,81.543,422.58678206,-0.008004768798433148,81.32836909326744,79.89277757710452,1.0,0.0,1.0
DASH/USD,2019-03-08,78.891,293.6034092,-0.03252271807512597,80.10968454663261,79.82121912645472,1.0,0.0,1.0
DASH/USD,2019-03-09,81.99700000000001,85.76764286,0.03937077740173156,81.05334227331674,79.97594758490656,1.0,0.0,1.0
DASH/USD,2019-03-10,81.59,18.96020296,-0.004963596229130451,81.32167113665842,80.09025525982234,1.0,0.0,1.0
DASH/USD,2019-03-11,81.985,462.9852704,0.004841279568574608,81.65333556832924,80.22392657474002,1.0,0.0,1.0
DASH/USD,2019-03-12,90.0,1504.17080185,0.09776178569250482,85.82666778416485,80.9111521932626,1.0,0.0,1.0
DASH/USD,2019-03-13,89.501,614.2122857999999,-0.005544444444444352,87.66383389208248,81.51298615892571,1.0,0.0,1.0
DASH/USD,2019-03-14,88.337,993.65928633,-0.013005441279985708,88.00041694604124,81.98962392999576,1.0,0.0,1.0
