symbol,date,close,volume
BTC/USD,2019-01-28,3431.0,4223.88654216
BTC/USD,2019-01-29,3395.0,3060.27656387
BTC/USD,2019-01-30,3436.9,2130.91093966
BTC/USD,2019-01-31,3409.6,2200.63548929
BTC/USD,2019-02-01,3437.2,2824.67887843
BTC/USD,2019-02-02,3466.0,1347.49342036
BTC/USD,2019-02-03,3415.2,1300.82888033
BTC/USD,2019-02-04,3413.9,1359.62990401
BTC/USD,2019-02-05,3429.5,1429.38685442
BTC/USD,2019-02-06,3367.4,2289.49121231
BTC/USD,2019-02-07,3357.1,1512.88380802
BTC/USD,2019-02-08,3622.1,4231.50646809
BTC/USD,2019-02-09,3625.8,1780.95916756
BTC/USD,2019-02-10,3650.9,1114.66941941
BTC/USD,2019-02-11,3591.7,1388.71175715
BTC/USD,2019-02-12,3588.9,1383.23014194
BTC/USD,2019-02-13,3579.8,987.62604441
BTC/USD,2019-02-14,3562.4,835.12172617
BTC/USD,2019-02-15,3567.4,946.7885752
BTC/USD,2019-02-16,3580.1,964.91632521
BTC/USD,2019-02-17,3625.1,1433.44347746
BTC/USD,2019-02-18,3870.7,4873.97405577
BTC/USD,2019-02-19,3888.1,3326.31517672
BTC/USD,2019-02-20,3943.2,2074.00438324
BTC/USD,2019-02-21,3897.1,1838.5870069
BTC/USD,2019-02-22,3941.2,1714.98412867
BTC/USD,2019-02-23,4113.3,2943.73108279
BTC/USD,2019-02-24,3732.2,4240.4510935
BTC/USD,2019-02-25,3819.8,2325.62212569
BTC/USD,2019-02-26,3796.7,1890.39867573
BTC/USD,2019-02-27,3799.1,2805.95989959
BTC/USD,2019-02-28,3793.6,2010.80506465
BTC/USD,2019-03-01,3804.9,964.32145291
BTC/USD,2019-03-02,3810.1,528.89856765
BTC/USD,2019-03-03,3785.7,1199.10931344
BTC/USD,2019-03-04,3700.1,2280.64433456
BTC/USD,2019-03-05,3844.9,2289.0999925
BTC/USD,2019-03-06,3851.7,1552.14139273
BTC/USD,2019-03-07,3854.0,1882.24990116
BTC/USD,2019-03-08,3840.5,1884.20428597
BTC/USD,2019-03-09,3919.2,1652.40926475
BTC/USD,2019-03-10,3904.5,698.94382321
BTC/USD,2019-03-11,3851.2,1262.86118253
BTC/USD,2019-03-12,3863.1,1574.06311771
BTC/USD,2019-03-13,3852.8,881.79474838
BTC/USD,2019-03-14,3856.9,1236.3796374
BTC/USD,2019-03-15,3900.3,1128.43467216
BTC/USD,2019-03-16,3989.2,2160.35937378
BTC/USD,2019-03-17,3965.0,745.65446633
BTC/USD,2019-03-18,3969.6,1642.10131711
BTC/USD,2019-03-19,3999.9,1336.75471401
BTC/USD,2019-03-20,4033.0,2045.27473529
BTC/USD,2019-03-21,3974.3,2388.3976248
BTC/USD,2019-03-22,3984.1,1103.81827614
BTC/USD,2019-03-23,3982.4,736.79176036
BTC/USD,2019-03-24,3969.7,707.49922392
BTC/USD,2019-03-25,3906.0,2115.10591563
BTC/USD,2019-03-26,3918.8,1409.65973844
BTC/USD,2019-03-27,4026.1,2228.45823286
BTC/USD,2019-03-28,4013.7,1319.06479382
BTC/USD,2019-03-29,4088.9,2139.49520096
BTC/USD,2019-03-30,4090.9,1203.701439
BTC/USD,2019-03-31,4095.1,615.80523918
BTC/USD,2019-04-01,4137.8,2757.82205062
BTC/USD,2019-04-02,4902.9,10675.20887975
BTC/USD,2019-04-03,4972.2,9109.42654442
BTC/USD,2019-04-04,4907.7,4097.31486554
BTC/USD,2019-04-05,5038.1,2001.30591582
BTC/USD,2019-04-06,5036.4,2242.80037391
BTC/USD,2019-04-07,5189.3,2552.31706093
BTC/USD,2019-04-08,5285.1,3174.13644998
BTC/USD,2019-04-09,5190.8,2519.97308079
BTC/USD,2019-04-10,5320.5,4238.8099458
BTC/USD,2019-04-11,5041.7,3746.33595885
BTC/USD,2019-04-12,5081.1,1996.74263041
BTC/USD,2019-04-13,5069.3,1198.74414851
BTC/USD,2019-04-14,5153.3,919.81572982
BTC/USD,2019-04-15,5041.4,1997.4316129
BTC/USD,2019-04-16,5204.0,2807.57292657
BTC/USD,2019-04-17,5225.0,1665.10087491
BTC/USD,2019-04-18,5282.8,2070.21095404
BTC/USD,2019-04-19,5286.0,1908.30782418
BTC/USD,2019-04-20,5316.5,1376.33684195
BTC/USD,2019-04-21,5295.2,1359.58580151
BTC/USD,2019-04-22,5384.0,2912.60125281
BTC/USD,2019-04-23,5530.1,4053.77707391
